2026-09-11 15:03:19 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 15:03:37 | INFO    | PipelineLogger.write | SETUP DIAGNOSTICO - WORKSPACE APOS COPIA
2026-09-11 15:03:37 | INFO    | PipelineLogger.write | Workspace.............: C:\Setups\.work\Whatsapp
2026-09-11 15:03:37 | INFO    | PipelineLogger.write | Workspace Release.....: C:\Setups\.work\Whatsapp\Release
2026-09-11 15:03:37 | INFO    | PipelineLogger.write | Release existe........: True
2026-09-11 15:03:37 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 15:03:37 | INFO    | PipelineLogger.write | WORKSPACE - APOS COPIA E ANTES DO CLEANUP
2026-09-11 15:03:37 | INFO    | PipelineLogger.write | Diretorio.............: C:\Setups\.work\Whatsapp\Release
2026-09-11 15:03:38 | INFO    | PipelineLogger.write | Diretorio existe......: True
2026-09-11 15:03:38 | INFO    | PipelineLogger.write | Arquivos..............: 724
2026-09-11 15:03:38 | INFO    | PipelineLogger.write | Diretorios............: 75
2026-09-11 15:03:38 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 15:03:41 | INFO    | PipelineLogger.write | SETUP DIAGNOSTICO - CLEANUP
2026-09-11 15:03:41 | INFO    | PipelineLogger.write | Arquivos analisados.....: 724
2026-09-11 15:03:41 | INFO    | PipelineLogger.write | Arquivos removidos......: 658
2026-09-11 15:03:41 | INFO    | PipelineLogger.write | Arquivos preservados....: 66
2026-09-11 15:03:41 | INFO    | PipelineLogger.write | Diretorios analisados...: 75
2026-09-11 15:03:41 | INFO    | PipelineLogger.write | Diretorios removidos....: 72
2026-09-11 15:03:41 | INFO    | PipelineLogger.write | Diretorios preservados..: 3
2026-09-11 15:03:41 | INFO    | PipelineLogger.write | CLEANUP RESULTADO
2026-09-11 15:03:41 | INFO    | PipelineLogger.write | Arquivos removidos......: 658
2026-09-11 15:03:41 | INFO    | PipelineLogger.write | Arquivos preservados....: 66
2026-09-11 15:03:41 | INFO    | PipelineLogger.write | Diretorios removidos....: 72
2026-09-11 15:03:41 | INFO    | PipelineLogger.write | Diretorios preservados..: 3
2026-09-11 15:03:42 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 15:03:42 | INFO    | PipelineLogger.write | WORKSPACE - APOS CLEANUP
2026-09-11 15:03:42 | INFO    | PipelineLogger.write | Diretorio.............: C:\Setups\.work\Whatsapp\Release
2026-09-11 15:03:42 | INFO    | PipelineLogger.write | Diretorio existe......: True
2026-09-11 15:03:42 | INFO    | PipelineLogger.write | Arquivos..............: 66
2026-09-11 15:03:42 | INFO    | PipelineLogger.write | Diretorios............: 3
2026-09-11 15:03:42 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 15:03:42 | INFO    | PipelineLogger.write | SETUP DIAGNOSTICO - SOURCEPATH DO AIP ATUALIZADO
2026-09-11 15:03:42 | INFO    | PipelineLogger.write | AIP...................: C:\Setups\.work\Whatsapp\AIP\OuroNet.WinServiceWhatsapp.Setup.aip
2026-09-11 15:03:42 | INFO    | PipelineLogger.write | SourcePath...........: C:\Setups\.work\Whatsapp\Release
