2026-09-10 11:46:40 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.Utils.v23.2.dll.deploy
2026-09-10 11:46:40 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.Xpo.v23.2.dll.deploy
2026-09-10 11:46:40 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.XtraBars.v23.2.dll.deploy
2026-09-10 11:46:40 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.XtraCharts.v23.2.dll.deploy
2026-09-10 11:46:40 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.XtraDialogs.v23.2.dll.deploy
2026-09-10 11:46:40 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.XtraEditors.v23.2.dll.deploy
2026-09-10 11:46:40 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.XtraGauges.v23.2.Core.dll.deploy
2026-09-10 11:46:40 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.XtraGrid.v23.2.dll.deploy
2026-09-10 11:46:41 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.XtraLayout.v23.2.dll.deploy
2026-09-10 11:46:41 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.XtraPrinting.v23.2.dll.deploy
2026-09-10 11:46:41 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.XtraReports.v23.2.dll.deploy
2026-09-10 11:46:41 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\DevExpress.XtraTreeList.v23.2.dll.deploy
2026-09-10 11:46:42 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\FileHelpers.dll.deploy
2026-09-10 11:46:43 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\Framawork.DFe.Classes.dll.deploy
2026-09-10 11:46:43 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\Framawork.DFe.Utils.dll.deploy
2026-09-10 11:46:43 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\Framawork.DFe.Wsdl.dll.deploy
2026-09-10 11:46:43 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\Framework.NFe.Classes.dll.deploy
2026-09-10 11:46:44 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\Framework.NFe.Servicos.dll.deploy
2026-09-10 11:46:44 | INFO    | PipelineLogger.write | ARQUIVO...............: app.publish\Application Files\OuroNetWinServiceLinkPagamento_1_0_0_0\Framework.NFe.Utils.dll.deploy
